0,750000 1,000000 0
0,000000 0,000000 1000
0,000000 0,000000 1000
0,000000 0,000000 1000
0,000000 0,000000 1000
0,000000 0,000000 1000
0,000000 0,000000 1000
0,000000 0,000000 1000
0,000000 0,000000 1000
0,000000 0,000000 1000
0,000000 0,000000 1000
0,000000 0,000000 1000
0,000000 0,000000 1000
0,000000 0,000000 1000
0,000000 0,000000 1000
0,000000 0,000000 1000
0,000000 0,000000 1000
0,000000 0,000000 1000
0,000000 0,000000 1000
0,000000 0,000000 1000
0,000000 0,000000 1000
0,000000 0,000000 1000
0,000000 0,000000 1000
0,000000 0,000000 1000
0,000000 0,000000 1000
0,000000 0,000000 1000
0,000000 0,000000 1000
0,000000 0,000000 1000
0,000000 0,000000 1000
0,000000 0,000000 1000
0,000000 0,000000 1000
0,000000 0,000000 1000
0,000000 0,000000 1000
0,000000 0,000000 1000
0,000000 0,000000 1000
0,000000 0,000000 1000
0,000000 0,000000 1000
0,000000 0,000000 1000
0,000000 0,000000 1000
0,000000 0,000000 1000
0,000000 0,000000 1000
0,000000 0,000000 1000
0,000000 0,000000 1000
0,000000 0,000000 1000
0,000000 0,000000 1000
0,000000 0,000000 1000
0,000000 0,000000 1000
0,000000 0,000000 1000
0,000000 0,000000 1000
0,000000 0,000000 1000
0,000000 0,000000 1000
0,000000 0,000000 1000
0,000000 0,000000 1000
0,000000 0,000000 1000
0,000000 0,000000 1000
0,000000 0,000000 1000
